CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime,
0,1,624,584,0,
43,2,488,448,0,
86,3,231,191,0,
129,4,337,297,0,
172,5,222,182,0,
215,6,130,90,0,
258,7,317,277,0,
301,8,439,399,0,
344,9,942,902,0,
387,1,584,544,0,
430,2,448,408,0,
473,3,191,151,0,
516,4,297,257,0,
559,5,182,142,0,
602,6,90,50,0,
645,7,277,237,0,
688,8,399,359,0,
731,9,902,862,0,
774,1,544,504,0,
817,2,408,368,0,
860,3,151,111,0,
903,4,257,217,0,
946,5,142,102,0,
989,6,50,10,0,
1032,7,237,197,0,
1075,8,359,319,0,
1118,9,862,822,0,
1161,1,504,464,0,
1204,2,368,328,0,
1247,3,111,71,0,
1290,4,217,177,0,
1333,5,102,62,0,
1376,6,10,0,1386,
1389,2,328,288,0,
1432,3,71,31,0,
1475,4,177,137,0,
1518,5,62,22,0,
1561,7,197,157,0,
1604,8,319,279,0,
1647,9,822,782,0,
1690,1,464,424,0,
1733,2,288,248,0,
1776,3,31,0,1807,
1810,2,248,208,0,
1853,4,137,97,0,
1896,5,22,0,1918,
1921,8,279,239,0,
1964,9,782,742,0,
2007,1,424,384,0,
2050,2,208,168,0,
2093,4,97,57,0,
2136,7,157,117,0,
2179,8,239,199,0,
2222,9,742,702,0,
2265,1,384,344,0,
2308,2,168,128,0,
2351,4,57,17,0,
2394,7,117,77,0,
2437,8,199,159,0,
2480,9,702,662,0,
2523,1,344,304,0,
2566,2,128,88,0,
2609,4,17,0,2626,
2629,8,159,119,0,
2672,9,662,622,0,
2715,1,304,264,0,
2758,2,88,48,0,
2801,7,77,37,0,
2844,8,119,79,0,
2887,9,622,582,0,
2930,1,264,224,0,
2973,2,48,8,0,
3016,7,37,0,3053,
3056,2,8,0,3064,
3067,9,582,542,0,
3110,1,224,184,0,
3153,8,79,39,0,
3196,9,542,502,0,
3239,1,184,144,0,
3282,8,39,0,3321,
3324,1,144,104,0,
3367,9,502,462,0,
3410,1,104,64,0,
3453,9,462,422,0,
3496,1,64,24,0,
3539,9,422,382,0,
3582,1,24,0,3606,
3609,9,382,342,0,
3652,9,342,302,0,
3695,9,302,262,0,
3738,9,262,222,0,
3781,9,222,182,0,
3824,9,182,142,0,
3867,9,142,102,0,
3910,9,102,62,0,
3953,9,62,22,0,
3996,9,22,0,4018,
