CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime,
0,6,814,774,0,
43,7,204,164,0,
86,5,609,569,0,
129,4,209,169,0,
172,1,596,556,0,
215,8,308,268,0,
258,4,169,129,0,
301,1,556,516,0,
344,1,516,476,0,
387,7,164,124,0,
430,3,123,83,0,
473,6,774,734,0,
516,2,222,182,0,
559,1,476,436,0,
602,2,182,142,0,
645,8,268,228,0,
688,6,734,694,0,
731,8,228,188,0,
774,8,188,148,0,
817,5,569,529,0,
860,2,142,102,0,
903,7,124,84,0,
946,1,436,396,0,
989,1,396,356,0,
1032,4,129,89,0,
1075,1,356,316,0,
1118,8,148,108,0,
1161,3,83,43,0,
1204,6,694,654,0,
1247,2,102,62,0,
1290,8,108,68,0,
1333,1,316,276,0,
1376,1,276,236,0,
1419,5,529,489,0,
1462,7,84,44,0,
1505,6,654,614,0,
1548,1,236,196,0,
1591,7,44,4,0,
1634,1,196,156,0,
1677,5,489,449,0,
1720,5,449,409,0,
1763,1,156,116,0,
1806,3,43,3,0,
1849,5,409,369,0,
1892,5,369,329,0,
1935,3,3,0,1938,
1941,7,4,0,1945,
1948,1,116,76,0,
1991,6,614,574,0,
2034,1,76,36,0,
2077,1,36,0,2113,
2116,8,68,28,0,
2159,6,574,534,0,
2202,8,28,0,2230,
2233,6,534,494,0,
2276,6,494,454,0,
2319,2,62,22,0,
2362,5,329,289,0,
2405,6,454,414,0,
2448,2,22,0,2470,
2473,5,289,249,0,
2516,4,89,49,0,
2559,6,414,374,0,
2602,6,374,334,0,
2645,6,334,294,0,
2688,4,49,9,0,
2731,6,294,254,0,
2774,5,249,209,0,
2817,6,254,214,0,
2860,4,9,0,2869,
2872,6,214,174,0,
2915,6,174,134,0,
2958,5,209,169,0,
3001,5,169,129,0,
3044,6,134,94,0,
3087,5,129,89,0,
3130,5,89,49,0,
3173,6,94,54,0,
3216,5,49,9,0,
3259,6,54,14,0,
3302,5,9,0,3311,
3314,6,14,0,3328,
3331,9,333,293,0,
3374,9,293,253,0,
3417,9,253,213,0,
3460,9,213,173,0,
3503,9,173,133,0,
3546,9,133,93,0,
3589,9,93,53,0,
3632,9,53,13,0,
3675,9,13,0,3688,
