CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime,
0,1,931,911,0,
23,2,991,971,0,
46,3,683,663,0,
69,4,404,384,0,
92,5,929,909,0,
115,6,760,740,0,
138,7,772,752,0,
161,8,210,190,0,
184,9,845,825,0,
207,10,573,553,0,
230,11,225,205,0,
253,12,874,854,0,
276,13,382,362,0,
299,14,524,504,0,
322,15,198,178,0,
345,16,867,847,0,
368,17,897,877,0,
391,18,30,10,0,
414,19,94,74,0,
437,20,423,403,0,
460,21,336,316,0,
483,22,799,779,0,
506,23,596,576,0,
529,24,680,660,0,
552,25,71,51,0,
575,26,754,734,0,
598,27,392,372,0,
621,1,911,891,0,
644,2,971,951,0,
667,3,663,643,0,
690,4,384,364,0,
713,5,909,889,0,
736,6,740,720,0,
759,7,752,732,0,
782,8,190,170,0,
805,9,825,805,0,
828,10,553,533,0,
851,11,205,185,0,
874,12,854,834,0,
897,13,362,342,0,
920,14,504,484,0,
943,15,178,158,0,
966,16,847,827,0,
989,17,877,857,0,
1012,18,10,0,1022,
1025,21,316,296,0,
1048,22,779,759,0,
1071,23,576,556,0,
1094,24,660,640,0,
1117,25,51,31,0,
1140,26,734,714,0,
1163,27,372,352,0,
1186,1,891,871,0,
1209,2,951,931,0,
1232,3,643,623,0,
1255,4,364,344,0,
1278,5,889,869,0,
1301,6,720,700,0,
1324,7,732,712,0,
1347,8,170,150,0,
1370,9,805,785,0,
1393,10,533,513,0,
1416,11,185,165,0,
1439,12,834,814,0,
1462,13,342,322,0,
1485,14,484,464,0,
1508,15,158,138,0,
1531,16,827,807,0,
1554,17,857,837,0,
1577,19,74,54,0,
1600,20,403,383,0,
1623,21,296,276,0,
1646,22,759,739,0,
1669,23,556,536,0,
1692,24,640,620,0,
1715,25,31,11,0,
1738,26,714,694,0,
1761,27,352,332,0,
1784,1,871,851,0,
1807,2,931,911,0,
1830,3,623,603,0,
1853,4,344,324,0,
1876,5,869,849,0,
1899,6,700,680,0,
1922,7,712,692,0,
1945,8,150,130,0,
1968,9,785,765,0,
1991,10,513,493,0,
2014,11,165,145,0,
2037,12,814,794,0,
2060,13,322,302,0,
2083,14,464,444,0,
2106,15,138,118,0,
2129,16,807,787,0,
2152,17,837,817,0,
2175,19,54,34,0,
2198,20,383,363,0,
2221,21,276,256,0,
2244,22,739,719,0,
2267,23,536,516,0,
2290,24,620,600,0,
2313,25,11,0,2324,
2327,3,603,583,0,
2350,4,324,304,0,
2373,5,849,829,0,
2396,6,680,660,0,
2419,7,692,672,0,
2442,8,130,110,0,
2465,9,765,745,0,
2488,10,493,473,0,
2511,11,145,125,0,
2534,12,794,774,0,
2557,13,302,282,0,
2580,14,444,424,0,
2603,15,118,98,0,
2626,16,787,767,0,
2649,17,817,797,0,
2672,19,34,14,0,
2695,20,363,343,0,
2718,21,256,236,0,
2741,22,719,699,0,
2764,23,516,496,0,
2787,24,600,580,0,
2810,26,694,674,0,
2833,27,332,312,0,
2856,1,851,831,0,
2879,2,911,891,0,
2902,3,583,563,0,
2925,4,304,284,0,
2948,5,829,809,0,
2971,6,660,640,0,
2994,7,672,652,0,
3017,8,110,90,0,
3040,9,745,725,0,
3063,10,473,453,0,
3086,11,125,105,0,
3109,12,774,754,0,
3132,13,282,262,0,
3155,14,424,404,0,
3178,15,98,78,0,
3201,16,767,747,0,
3224,17,797,777,0,
3247,19,14,0,3261,
3264,27,312,292,0,
3287,1,831,811,0,
3310,2,891,871,0,
3333,3,563,543,0,
3356,4,284,264,0,
3379,5,809,789,0,
3402,6,640,620,0,
3425,7,652,632,0,
3448,8,90,70,0,
3471,9,725,705,0,
3494,10,453,433,0,
3517,11,105,85,0,
3540,12,754,734,0,
3563,13,262,242,0,
3586,14,404,384,0,
3609,15,78,58,0,
3632,16,747,727,0,
3655,17,777,757,0,
3678,20,343,323,0,
3701,21,236,216,0,
3724,22,699,679,0,
3747,23,496,476,0,
3770,24,580,560,0,
3793,26,674,654,0,
3816,27,292,272,0,
3839,1,811,791,0,
3862,2,871,851,0,
3885,3,543,523,0,
3908,4,264,244,0,
3931,5,789,769,0,
3954,6,620,600,0,
3977,7,632,612,0,
4000,8,70,50,0,
4023,9,705,685,0,
4046,10,433,413,0,
4069,11,85,65,0,
4092,12,734,714,0,
4115,13,242,222,0,
4138,14,384,364,0,
4161,15,58,38,0,
4184,16,727,707,0,
4207,17,757,737,0,
4230,20,323,303,0,
4253,21,216,196,0,
4276,22,679,659,0,
4299,23,476,456,0,
4322,24,560,540,0,
4345,26,654,634,0,
4368,27,272,252,0,
4391,1,791,771,0,
4414,2,851,831,0,
4437,3,523,503,0,
4460,4,244,224,0,
4483,5,769,749,0,
4506,6,600,580,0,
4529,7,612,592,0,
4552,8,50,30,0,
4575,9,685,665,0,
4598,10,413,393,0,
4621,11,65,45,0,
4644,12,714,694,0,
4667,13,222,202,0,
4690,14,364,344,0,
4713,15,38,18,0,
4736,16,707,687,0,
4759,17,737,717,0,
4782,20,303,283,0,
4805,21,196,176,0,
4828,22,659,639,0,
4851,23,456,436,0,
4874,24,540,520,0,
4897,26,634,614,0,
4920,27,252,232,0,
4943,1,771,751,0,
4966,2,831,811,0,
4989,3,503,483,0,
5012,4,224,204,0,
5035,5,749,729,0,
5058,6,580,560,0,
5081,7,592,572,0,
5104,8,30,10,0,
5127,9,665,645,0,
5150,10,393,373,0,
5173,11,45,25,0,
5196,12,694,674,0,
5219,13,202,182,0,
5242,14,344,324,0,
5265,15,18,0,5283,
5286,2,811,791,0,
5309,3,483,463,0,
5332,4,204,184,0,
5355,5,729,709,0,
5378,6,560,540,0,
5401,7,572,552,0,
5424,8,10,0,5434,
5437,23,436,416,0,
5460,24,520,500,0,
5483,26,614,594,0,
5506,27,232,212,0,
5529,1,751,731,0,
5552,2,791,771,0,
5575,3,463,443,0,
5598,4,184,164,0,
5621,5,709,689,0,
5644,6,540,520,0,
5667,7,552,532,0,
5690,9,645,625,0,
5713,10,373,353,0,
5736,11,25,5,0,
5759,12,674,654,0,
5782,13,182,162,0,
5805,14,324,304,0,
5828,16,687,667,0,
5851,17,717,697,0,
5874,20,283,263,0,
5897,21,176,156,0,
5920,22,639,619,0,
5943,23,416,396,0,
5966,24,500,480,0,
5989,26,594,574,0,
6012,27,212,192,0,
6035,1,731,711,0,
6058,2,771,751,0,
6081,3,443,423,0,
