CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime,
0,1,931,891,0,
43,2,991,951,0,
86,3,683,643,0,
129,4,404,364,0,
172,5,929,889,0,
215,6,760,720,0,
258,7,772,732,0,
301,8,210,170,0,
344,9,845,805,0,
387,10,573,533,0,
430,11,225,185,0,
473,12,874,834,0,
516,13,382,342,0,
559,14,524,484,0,
602,15,198,158,0,
645,16,867,827,0,
688,17,897,857,0,
731,18,30,0,761,
764,20,423,383,0,
807,21,336,296,0,
850,22,799,759,0,
893,23,596,556,0,
936,24,680,640,0,
979,25,71,31,0,
1022,26,754,714,0,
1065,27,392,352,0,
1108,1,891,851,0,
1151,2,951,911,0,
1194,3,643,603,0,
1237,4,364,324,0,
1280,5,889,849,0,
1323,6,720,680,0,
1366,7,732,692,0,
1409,8,170,130,0,
1452,9,805,765,0,
1495,10,533,493,0,
1538,11,185,145,0,
1581,12,834,794,0,
1624,13,342,302,0,
1667,14,484,444,0,
1710,15,158,118,0,
1753,16,827,787,0,
1796,17,857,817,0,
1839,19,94,54,0,
1882,20,383,343,0,
1925,21,296,256,0,
1968,22,759,719,0,
2011,23,556,516,0,
2054,24,640,600,0,
2097,25,31,0,2128,
2131,1,851,811,0,
2174,2,911,871,0,
2217,3,603,563,0,
2260,4,324,284,0,
2303,5,849,809,0,
2346,6,680,640,0,
2389,7,692,652,0,
2432,8,130,90,0,
2475,9,765,725,0,
2518,10,493,453,0,
2561,11,145,105,0,
2604,12,794,754,0,
2647,13,302,262,0,
2690,14,444,404,0,
2733,15,118,78,0,
2776,16,787,747,0,
2819,17,817,777,0,
2862,19,54,14,0,
2905,20,343,303,0,
2948,21,256,216,0,
2991,22,719,679,0,
3034,23,516,476,0,
3077,24,600,560,0,
3120,26,714,674,0,
3163,27,352,312,0,
3206,1,811,771,0,
3249,2,871,831,0,
3292,3,563,523,0,
3335,4,284,244,0,
3378,5,809,769,0,
3421,6,640,600,0,
3464,7,652,612,0,
3507,8,90,50,0,
3550,9,725,685,0,
3593,10,453,413,0,
3636,11,105,65,0,
3679,12,754,714,0,
3722,13,262,222,0,
3765,14,404,364,0,
3808,15,78,38,0,
3851,16,747,707,0,
3894,17,777,737,0,
3937,19,14,0,3951,
3954,24,560,520,0,
3997,26,674,634,0,
4040,27,312,272,0,
4083,1,771,731,0,
4126,2,831,791,0,
4169,3,523,483,0,
4212,4,244,204,0,
4255,5,769,729,0,
4298,6,600,560,0,
4341,7,612,572,0,
4384,8,50,10,0,
4427,9,685,645,0,
4470,10,413,373,0,
4513,11,65,25,0,
4556,12,714,674,0,
4599,13,222,182,0,
4642,14,364,324,0,
4685,15,38,0,4723,
4726,23,476,436,0,
4769,24,520,480,0,
4812,26,634,594,0,
4855,27,272,232,0,
4898,1,731,691,0,
4941,2,791,751,0,
4984,3,483,443,0,
5027,4,204,164,0,
5070,5,729,689,0,
5113,6,560,520,0,
5156,7,572,532,0,
5199,8,10,0,5209,
5212,16,707,667,0,
5255,17,737,697,0,
5298,20,303,263,0,
5341,21,216,176,0,
5384,22,679,639,0,
5427,23,436,396,0,
5470,24,480,440,0,
5513,26,594,554,0,
5556,27,232,192,0,
5599,1,691,651,0,
5642,2,751,711,0,
5685,3,443,403,0,
5728,4,164,124,0,
5771,5,689,649,0,
5814,6,520,480,0,
5857,7,532,492,0,
5900,9,645,605,0,
5943,10,373,333,0,
5986,11,25,0,6011,
6014,22,639,599,0,
6057,23,396,356,0,
6100,24,440,400,0,
6143,26,554,514,0,
6186,27,192,152,0,
6229,1,651,611,0,
6272,2,711,671,0,
6315,3,403,363,0,
6358,4,124,84,0,
6401,5,649,609,0,
6444,6,480,440,0,
6487,7,492,452,0,
6530,9,605,565,0,
6573,10,333,293,0,
6616,12,674,634,0,
6659,13,182,142,0,
6702,14,324,284,0,
6745,16,667,627,0,
6788,17,697,657,0,
6831,20,263,223,0,
6874,21,176,136,0,
6917,22,599,559,0,
6960,23,356,316,0,
7003,24,400,360,0,
7046,26,514,474,0,
7089,27,152,112,0,
7132,1,611,571,0,
7175,2,671,631,0,
7218,3,363,323,0,
7261,4,84,44,0,
7304,5,609,569,0,
7347,6,440,400,0,
7390,7,452,412,0,
7433,9,565,525,0,
7476,10,293,253,0,
7519,12,634,594,0,
7562,13,142,102,0,
7605,14,284,244,0,
7648,16,627,587,0,
7691,17,657,617,0,
7734,20,223,183,0,
7777,21,136,96,0,
7820,22,559,519,0,
7863,23,316,276,0,
7906,24,360,320,0,
7949,26,474,434,0,
7992,27,112,72,0,
8035,1,571,531,0,
8078,2,631,591,0,
8121,3,323,283,0,
8164,4,44,4,0,
8207,5,569,529,0,
8250,6,400,360,0,
8293,7,412,372,0,
8336,9,525,485,0,
8379,10,253,213,0,
8422,12,594,554,0,
8465,13,102,62,0,
8508,14,244,204,0,
8551,16,587,547,0,
8594,17,617,577,0,
8637,20,183,143,0,
8680,21,96,56,0,
8723,22,519,479,0,
8766,23,276,236,0,
8809,24,320,280,0,
8852,26,434,394,0,
8895,27,72,32,0,
8938,1,531,491,0,
8981,2,591,551,0,
9024,3,283,243,0,
9067,4,4,0,9071,
9074,21,56,16,0,
9117,22,479,439,0,
9160,23,236,196,0,
9203,24,280,240,0,
9246,26,394,354,0,
9289,27,32,0,9321,
9324,16,547,507,0,
9367,17,577,537,0,
9410,20,143,103,0,
9453,21,16,0,9469,
9472,12,554,514,0,
9515,13,62,22,0,
9558,14,204,164,0,
9601,16,507,467,0,
9644,17,537,497,0,
9687,20,103,63,0,
9730,22,439,399,0,
9773,23,196,156,0,
9816,24,240,200,0,
9859,26,354,314,0,
9902,1,491,451,0,
9945,2,551,511,0,
9988,3,243,203,0,
10031,5,529,489,0,
10074,6,360,320,0,
10117,7,372,332,0,
10160,9,485,445,0,
10203,10,213,173,0,
10246,12,514,474,0,
10289,13,22,0,10311,
10314,9,445,405,0,
10357,10,173,133,0,
10400,12,474,434,0,
10443,14,164,124,0,
10486,16,467,427,0,
10529,17,497,457,0,
10572,20,63,23,0,
10615,22,399,359,0,
10658,23,156,116,0,
10701,24,200,160,0,
10744,26,314,274,0,
10787,1,451,411,0,
10830,2,511,471,0,
10873,3,203,163,0,
10916,5,489,449,0,
10959,6,320,280,0,
11002,7,332,292,0,
11045,9,405,365,0,
11088,10,133,93,0,
11131,12,434,394,0,
11174,14,124,84,0,
11217,16,427,387,0,
11260,17,457,417,0,
11303,20,23,0,11326,
11329,22,359,319,0,
11372,23,116,76,0,
11415,24,160,120,0,
11458,26,274,234,0,
