CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime,
11761,12,9,0,11770,
11773,9,175,135,0,
11816,9,135,95,0,
11859,3,392,352,0,
11902,3,352,312,0,
11945,3,312,272,0,
11988,9,95,55,0,
12031,13,555,515,0,
12074,3,272,232,0,
12117,3,232,192,0,
12160,3,192,152,0,
12203,13,515,475,0,
12246,3,152,112,0,
12289,9,55,15,0,
12332,9,15,0,12347,
12350,3,112,72,0,
12393,3,72,32,0,
12436,3,32,0,12468,
12471,13,475,435,0,
12514,13,435,395,0,
12557,13,395,355,0,
12600,13,355,315,0,
12643,13,315,275,0,
12686,13,275,235,0,
12729,13,235,195,0,
12772,13,195,155,0,
12815,13,155,115,0,
12858,13,115,75,0,
12901,13,75,35,0,
12944,13,35,0,12979,
