CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime,
0,8,439,399,0,
43,7,317,277,0,
86,7,277,237,0,
129,9,942,902,0,
172,1,624,584,0,
215,6,130,90,0,
258,9,902,862,0,
301,3,231,191,0,
344,2,488,448,0,
387,2,448,408,0,
430,8,399,359,0,
473,3,191,151,0,
516,3,151,111,0,
559,2,408,368,0,
602,9,862,822,0,
645,6,90,50,0,
688,9,822,782,0,
731,5,222,182,0,
774,6,50,10,0,
817,6,10,0,827,
830,3,111,71,0,
873,4,337,297,0,
916,1,584,544,0,
959,9,782,742,0,
1002,2,368,328,0,
1045,2,328,288,0,
1088,3,71,31,0,
1131,7,237,197,0,
1174,3,31,0,1205,
1208,9,742,702,0,
1251,2,288,248,0,
1294,4,297,257,0,
1337,2,248,208,0,
1380,7,197,157,0,
1423,9,702,662,0,
1466,8,359,319,0,
1509,7,157,117,0,
1552,2,208,168,0,
1595,2,168,128,0,
1638,8,319,279,0,
1681,4,257,217,0,
1724,7,117,77,0,
1767,9,662,622,0,
1810,8,279,239,0,
1853,1,544,504,0,
1896,1,504,464,0,
1939,9,622,582,0,
1982,9,582,542,0,
2025,8,239,199,0,
2068,5,182,142,0,
2111,7,77,37,0,
2154,4,217,177,0,
2197,7,37,0,2234,
2237,4,177,137,0,
2280,5,142,102,0,
2323,5,102,62,0,
2366,2,128,88,0,
2409,2,88,48,0,
2452,2,48,8,0,
2495,9,542,502,0,
2538,2,8,0,2546,
2549,4,137,97,0,
2592,4,97,57,0,
2635,9,502,462,0,
2678,8,199,159,0,
2721,4,57,17,0,
2764,1,464,424,0,
2807,4,17,0,2824,
2827,8,159,119,0,
2870,9,462,422,0,
2913,1,424,384,0,
2956,9,422,382,0,
2999,5,62,22,0,
3042,9,382,342,0,
3085,5,22,0,3107,
3110,1,384,344,0,
3153,9,342,302,0,
3196,8,119,79,0,
3239,9,302,262,0,
3282,9,262,222,0,
3325,8,79,39,0,
3368,8,39,0,3407,
3410,9,222,182,0,
3453,9,182,142,0,
3496,9,142,102,0,
3539,9,102,62,0,
3582,9,62,22,0,
3625,9,22,0,3647,
3650,1,344,304,0,
3693,1,304,264,0,
3736,1,264,224,0,
3779,1,224,184,0,
3822,1,184,144,0,
3865,1,144,104,0,
3908,1,104,64,0,
3951,1,64,24,0,
3994,1,24,0,4018,
